,text
10,"<s>[INST]Một xưởng may trong tuần thứ nhất thực hiện được $\frac{3}{8}$ kế hoạch tháng, tuần thứ hai thực hiện được $\frac{3}{16}$ kế hoạch, trong tuần thứ ba thực hiện được $\frac{1}{3}$ kế hoạch. Để hoàn thành kế hoạch của tháng thì trong tuần cuối xưởng phải thực hiện bao nhiêu phần kế hoạch?, các đáp án
5/48
43/48
11/48
27/48[/INST]</s>
Lời giải:Để hoàn thành kế hoạch của tháng thì trong tuần cuối xưởng phải thực hiện:
 1 − ( $\frac{3}{8}$ + $\frac{3}{16}$ + $\frac{1}{3}$) = $\frac{5}{48}$ (kế hoạch)
Chọn đáp án:$\frac{5}{48}$"
11,"<s>[INST]12m235dm2 = …… m2. Số thích hợp để điền vào chỗ chấm là:, các đáp án
1235
12,35
123,5
1,235[/INST]</s>
Lời giải:Đây là đổi đơn vị từ nhỏ sang lớn. Đổi 35dm2 ra m2 bằng cách 0.01 ${\times}$ 35 = 0.35 (m2)
 12m2 + 0,35m2 = 12,35m2 Đáp số: 12,35 m2
Chọn đáp án:12,35"
12,"<s>[INST]Mua 10 kg hết 82000 đồng. Vậy mua 2,5 kg gạo như vậy hết số tiền là:, các đáp án
18 000 đồng
20 500 đồng
205 000 đồng
164 000 đồng[/INST]</s>
Lời giải:Mua 2,5 kg gạo như vậy hết số tiền là: $\frac{82000}{10}$ ${\times}$ 2,5 = 20500 (đồng)
 Đáp số: 20500 đồng
Chọn đáp án:20500 đồng"
13,"<s>[INST]Mua 12 quyển vở hết 60000 đồng. Hỏi mua 20 quyển vở như thế hết số tiền là:, các đáp án
100 000 đồng
160 000 đồng
180 000 đồng
120 000 đồng[/INST]</s>
Lời giải:Mua mỗi quyển vở hết số tiền là: $\frac{60000}{12}$ = 5000 (đồng)
 Mua 20 quyển vở như thế hết số tiền là: 5000 ${\times}$ 20 = 100000 (đồng)
 Đáp số: 100000 đồng
Chọn đáp án:100000 đồng"
14,"<s>[INST]Mua 15 cái bút hết 45000 đồng. Vậy mua 40 cái bút hết số tiền là:, các đáp án
120 000 đồng
240 000 đồng
675 000 đồng
15 000 đồng[/INST]</s>
Lời giải:Mua 1 cái bút hết số tiền là: $\frac{45000}{15}$ = 3000 (đồng)
 Mua 40 cái bút hết số tiền là: 3000 ${\times}$ 40 = 120000 (đồng)
 Đáp số: 120000 đồng
Chọn đáp án:120000 đồng"
15,"<s>[INST]My nhặt được 25 vỏ chai nhựa. An mang 4 vỏ chai nhựa ở nhà đưa thêm cho My. Số vỏ chai nhựa My có tất cả là:, các đáp án
25 vỏ chai
21 vỏ chai
29 vỏ chai
65 vỏ chai[/INST]</s>
Lời giải:Số vỏ chai nhựa My có tất cả là:
 25 + 4 = 29 (vỏ chai)
Chọn đáp án:29 vỏ chai"
16,"<s>[INST]12m7dm = … dm. Số thích hợp điền vào chỗ chấm là:, các đáp án
1 207 dm
127 dm
1 270 dm
1 027 dm[/INST]</s>
Lời giải:Đây là đổi đơn vị từ lớn sang nhỏ. Đổi 12m ra dm bằng cách 12 ${\times}$ 10 = 120 (dm)
 120dm + 7dm = 127 Đáp số: 127 dm
Chọn đáp án:127 dm"
17,"<s>[INST]Nam mua 5 quyển vở và đưa cô bán hàng tờ 100000 đồng. Cô bán hàng trả lại Nam 35000 đồng. Vậy mỗi quyển vở Nam mua có giá là:, các đáp án
3 000 đồng
5 000 đồng
6 000 đồng
8 000 đồng[/INST]</s>
Lời giải:Số tiền Nam mua 5 quyển vở là: 100000 – 35000 = 65000 (đồng)
 Mỗi quyển vở Nam mua có giá là: $\frac{65000}{5}$ = 13000 (đồng)
 Đáp số: 13000 đồng
Chọn đáp án:3000 đồng"
18,"<s>[INST]Năm nay mẹ 36 tuổi, tuổi của con bằng tuổi của mẹ giảm đi 4 lần. Hỏi năm nay con mấy tuổi?, các đáp án
6 tuổi
7 tuổi
10 tuổi
9 tuổi[/INST]</s>
Lời giải:Tuổi của con năm nay là: $\frac{36}{4}$ = 9 (tuổi)
Chọn đáp án:9 tuổi"
19,"<s>[INST]15 là tổng của:, các đáp án
6 và 7
25 và 10
9 và 6
8 và 8[/INST]</s>
Lời giải:Ta có:
 6 + 7 = 13
 15 + 10 = 35
 9 + 6 = 15
 8 + 8 = 16
 Vậy15 là tổng của: 9 và 6
Chọn đáp án:9 và 6"
20,"<s>[INST]Năm nay, An 12 tuổi. Bình ít hơn An 4 tuổi. Số tuổi của Bình là:, các đáp án
8 tuổi
16 tuổi
9 tuổi
7 tuổi[/INST]</s>
Lời giải:Số tuổi của Bình là:
 12 – 4 = 8 (tuổi)
Chọn đáp án:8 tuổi"
21,"<s>[INST]Năm nay, toàn bộ số vải thiều gia đình bác Minh thu hoạch được đã được hai thương lái thu mua hết tại vườn. Thương lái thứ nhất thu mua 5450 kg vải thiều, thương lái thứ hai thu mua ít hơn thương lái thứ nhất 2400 kg. Vậy số vải thiều năm nay gia đình bác Minh thu hoạch được là:, các đáp án
8 000 kg
7 850 kg
3 050 kg
8 500 kg[/INST]</s>
Lời giải:Thương lái thứ hai thu mua số vải thiều là 5450 – 2400 = 3050 (kg) Số vải thiều năm nay gia đình bác Minh thu hoạch được là: 5450 + 3050 = 8500 (kg)
Chọn đáp án:8500 kg"
22,"<s>[INST]Nếu dịch chuyển dấu phẩy của số thập phân sang bên phải một hàng thì số thập phân đó:, các đáp án
Tăng lên 10 đơn vị
Giảm đi 10 đơn vị
Tăng lên 10 lần
Giảm đi 10 lần[/INST]</s>
Lời giải:Nếu dịch chuyển dấu phẩy của số thập phân sang bên phải một hàng thì số thập phân đó tăng lên 10 lần.
Chọn đáp án:Tăng lên 10 lần"
23,"<s>[INST]Nếu ngày 13 tháng 8 là thứ Ba thì ngày 21 tháng 8 là thứ mấy?, các đáp án
Thứ Sáu
Thứ Hai
Thứ Năm
Thứ Tư[/INST]</s>
Lời giải:Ta có: $13 + 7 = 20$ . Vậy ngày 20 vẫn là thứ Ba Vậy ngày 21 là thứ Tư.
Chọn đáp án:Thứ Tư"
24,"<s>[INST]Nếu ngày 15 tháng 3 là thứ Ba thì ngày 21 tháng 3 là thứ mấy?, các đáp án
Thứ Hai
Thứ Ba
Thứ Tư
Thứ Năm[/INST]</s>
Lời giải:Ta có: 21 – 15 = 6 (ngày)
 Vậy ngày 21 tháng 3 là thứ Hai
Chọn đáp án:Thứ Ba"
25,"<s>[INST]Nếu ngày 29 tháng 5 là thứ Hai thì ngày 1 tháng 6 cùng năm đó là:, các đáp án
Thứ Ba
Thứ Tư
Thứ Năm
Thứ Sáu[/INST]</s>
Lời giải:Tháng 5 có 31 ngày.Ngày 30 tháng 5 là thứ Ba, 31 tháng 5 là thứ Tư vậy ngày 1 tháng 6 là thứ Năm.
Chọn đáp án:Thứ Năm"
26,"<s>[INST]15% của 320 kg là:, các đáp án
140 kg
401 kg
480 kg
48 kg[/INST]</s>
Lời giải:15% của 320 kg là:320 ${\times}$ $\frac{15}{100}$ = 48(kg)
 Đáp số: 48 kg
Chọn đáp án:48 kg"
27,"<s>[INST]Nếu tăng bán kính của mặt cầu lên 4 lần thì diện tích mặt cầu tăng lên bao nhiêu lần?, các đáp án
16
8
4
64[/INST]</s>
Lời giải:Tăng bán kính mặt cầu lên 4 lần thì diện tích mặt cầu tăng 16 lần.
Chọn đáp án:16"
28,"<s>[INST]Nếu tăng chiều dài và chiều rộng của một hình chữ nhật thêm 8 cm thì chu vi của hình chữ nhật đó tăng thêm là:, các đáp án
6 cm
24 cm
32 cm
36 cm[/INST]</s>
Lời giải:Tổng chiều dài và chiều rộng tăng thế là: $8 + 8 = 16$ (cm)
 Chu vi hình chữ nhật tăng thêm là: 16 ${\times}$ 2 = 32 (cm)
 Đáp số: 32 cm
Chọn đáp án:32 cm"
29,"<s>[INST]Ngày 5 tháng 7 là thứ Sáu thì ngày 10 tháng 7 cùng năm đó là thứ mấy?, các đáp án
Thứ Hai
Thứ Ba
Thứ Tư
Thứ Năm[/INST]</s>
Lời giải:Một tuần có 7 ngày
 Ngày 5 là thứ Sáu thì thứ Sáu tuần sau là ngày 12 (vì 5 + 7 = 12 )
 Vậy ngày 11 là thứ Năm, ngày 10 là thứ Tư.
 Vậy Ngày 5 tháng 7 là thứ Sáu thì ngày 10 tháng 7 cùng năm đó là thứ Tư.
Chọn đáp án:Thứ Tư"
30,"<s>[INST]15% của 40 là:, các đáp án
6
300
275
60[/INST]</s>
Lời giải:Ta lấy 0.15 ${\times}$ 40 = 6 Đáp số: 6
Chọn đáp án:6"
31,"<s>[INST]Ngày 6 tháng 6 năm 2022 là Thứ Hai. Vậy Thứ Hai tiếp theo của tháng 6 vào ngày nào?, các đáp án
Ngày 10
Ngày 11
Ngày 12
Ngày 13[/INST]</s>
Lời giải:Một tuần có 7 ngày, Thứ Hai tiếp theo của tháng 6 là ngày 13 (vì 6 + 7 = 13).
Chọn đáp án:Ngày 13"
32,"<s>[INST]Ngày thứ nhất, bác Thái thu hoạch được 250 kg nhãn. Ngày thứ hai, số ki- lô-gam nhãn bác Thái thu hoạch được đã giảm đi 2 lần so với ngày thứ nhất. Vậy cả hai ngày bác Thái thu hoạch được số ki-lô-gam nhãn là:, các đáp án
500 kg
750 kg
125kg
375 kg[/INST]</s>
Lời giải:Ngày thứ hai, bác Thái thu hoạch được số ki-lô-ham nhãn là: 250 : 2 = 125 (kg) 
 Cả hai ngày bác Thái thu hoạch được số ki-lô-gam nhãn là: $250 + 125 = 375$ (kg)
 Đáp số: 375 kg
Chọn đáp án:375 kg"
33,"<s>[INST]Nhà Hiền có 7 con lợn. Số ga nhiều hơn số lợn 63 con. Vậy số gà gấp số lợn là:, các đáp án
7 lần
8 lần
9 lần
10 lần[/INST]</s>
Lời giải:Nhà Hiền có số con gà là: 63 + 7 = 70 (con)
 Số gà gấp số lợn là: $\frac{70}{7}$ = 10 (lần)
Chọn đáp án:10 lần"
34,"<s>[INST]Nhà Hoa có 25 kg gạo. Mẹ Hoa mua thêm 25 kg gạo nữa rồi đóng tất cả số gạo hiện có thành 5 túi như nhau, tặng cho các gia đình khó khăn trong xóm. Mỗi túi gạo cân nặng là:, các đáp án
5 kg
10 kg
30 kg
20 kg[/INST]</s>
Lời giải:Tổng số gạo mẹ Hoa hiện có là: $25 + 25 = 50$ (kg)
 Mỗi túi gạo cân nặng là:$\frac{50}{5}$ = 10 (kg)
Chọn đáp án:10 kg"
35,"<s>[INST]15880 : 63 = ?, các đáp án
2511 (dư 4)
251 (dư 67)
252 (dư 4)
252 (dư 3)[/INST]</s>
Lời giải: $\frac{15880}{63}$ = 252 dư 4 
Chọn đáp án:252 (dư 4)"
36,"<s>[INST]Nhân viên y tế mất khoảng 5 phút để tiêm xong vắc-xin cho một người. Bố xếp hàng đợi tiêm lúc 9 giờ 20 phút. Phía trước bố còn 6 người nữ. Vậy bố sẽ được tiêm vắc-xin xong lúc:, các đáp án
9 giờ 50 phút
10 giờ 5 phút
10 giờ kém 5 phút
9 giờ 25 phút[/INST]</s>
Lời giải:Người tiêm hết số thời gian là: 6 ${\times}$ 5 = 30 (phút)
 Bố sẽ được tiêm vắc-xin xong lúc: 9 giờ 20 phút + 30 phút + 5 phút = 9 giờ 55 phút 9 giờ 55 phút = 10 giờ kém 5 phút
Chọn đáp án:10 giờ kém 5 phút"
37,"<s>[INST]Phần nguyên của số 1942,54 là:, các đáp án
54
194254
1942
1924,54[/INST]</s>
Lời giải:Phần nguyên của số 1942,54 là: 1942
Chọn đáp án:1942"
38,"<s>[INST]Phần nguyên của số thập phân 345,128 là:, các đáp án
128
0,128
5,128
345[/INST]</s>
Lời giải:Phần nguyên của số thập phân là phần đứng trước dấu phẩy của số thập phân. Do đó phần nguyên của số thập phân 345,128 là: 345.
Chọn đáp án:345"
39,"<s>[INST]Phân số $\frac{15}{1000}$ được viết dưới dạng số thập phân là:, các đáp án
1,5
0,15
0,015
0,0015[/INST]</s>
Lời giải:Ta có: $\frac{15}{1000}$ = 0,15
 Vậy nên phân số $\frac{15}{1000}$ được viết dưới dạng số thập phân là: 0,15.
Chọn đáp án:0,15"
40,"<s>[INST]Phân số $\frac{2}{5}$ viết dưới dạng phân số thập phân là:, các đáp án
80/200 
16/40 
40/100 
80/20 [/INST]</s>
Lời giải:Ta có: $\frac{2}{5}$ = $\frac{2\times 20}{5\times 20}$ = $\frac{40}{100}$ .
Chọn đáp án:$\frac{40}{100}$ "
41,"<s>[INST]15m27dm2 = ….. m2. Số thích hợp điền vào chố chấm là:, các đáp án
15,07 m2
156 m2
15,7 m2
15,007 m2[/INST]</s>
Lời giải:Ta có: $7dm$^2$=\frac{7}{100}m$^2$=0,07m$^2$$. Vậy: 15m27dm2 = 15 m2 + 0,07 m2 = 15,07 m2. Vậy số thích hợp điền vào chố chấm là : 15,07 m2
Chọn đáp án:15,07 m2"
42,"<s>[INST]Phân số $\frac{3}{25}$ được viết dưới dạng phân số thập phân là:, các đáp án
12/100
6/50
24/200
48/400[/INST]</s>
Lời giải:Ta có: 
 $\frac{3}{25}$ = $\frac{3\times 4}{25\times 4}$ = $\frac{12}{100}$ .
 Vậy phân số $\frac{3}{25}$ được viết dưới dạng phân số thập phân là: $\frac{12}{100}$ .
Chọn đáp án:$\frac{12}{100}$"
43,"<s>[INST]Phân số $\frac{3}{4}$ bằng phân số nào trong các phân số sau?, các đáp án
7/11
5/6
9/12
4/5[/INST]</s>
Lời giải:$\frac{9}{12}=\frac{9\colon 3}{12\colon 3}=\frac{3}{4}$ . 
 Phân số $\frac{3}{4}$ bằng phân số $\frac{9}{12}$
Chọn đáp án:$\frac{7}{11}$"
44,"<s>[INST]Bố an gói 10 cặp bánh chưng, sau đó chia đều cho 5 gia đình có hoàn cảnh khó khăn trong xóm. Số bánh chưng mỗi gia đình nhận được là:, các đáp án
2 cái
3 cái
4 cái
5 cái[/INST]</s>
Lời giải:Ta có: 10 cặp = 20 cáiSố bánh chưng mỗi gia đình nhận được là:$\frac{20}{5}$ = 4 (cái)
Chọn đáp án:4 cái"
45,"<s>[INST]16 giờ 15 phút - 3 giờ 45 phút … 9 giờ 25 phút + 2 giờ 39 phút là
<
>
=[/INST]</s>
Lời giải:16 giờ 15 phút ra phút bằng cách: 16 
chọn đáp án:>"
46,"<s>[INST]Phân số $\frac{97}{1000}$ viết dưới dạng số thập phân là:, các đáp án
9,7
0,97
0,907
0,097[/INST]</s>
Lời giải:Phân số $\frac{97}{1000}$ viết dưới dạng số thập phân là: 0,097.
Chọn đáp án:0,097"
47,"<s>[INST]16 là tích của hai số nào?, các đáp án
5 và 3
2 và 8
7 và 2
4 và 5[/INST]</s>
Lời giải:Ta có: 5 ${\times}$ 3 = 152 ${\times}$ 8 = 167 ${\times}$ 2 = 144 ${\times}$ 5 = 20
 Vậy 16 là tích của 2 và 8
Chọn đáp án:2 và 8"
48,"<s>[INST]Phân số thập phân $\frac{205}{100}$ được viết dưới dạng số thập phân là:, các đáp án
20,5
0,0205
2,05
0,205[/INST]</s>
Lời giải:Ta có: 205 : 100 = 2,05. 
 Vậy phân số thập phân $\frac{205}{100}$ được viết dưới dạng số thập phân là: 2,05
Chọn đáp án:2,05"
49,"<s>[INST]Phân số thập phân “Ba trăm hai mươi tư phần một nghìn” được viết là:, các đáp án
3204/1000
324/1000
324/100
30024/1000[/INST]</s>
Lời giải:Phân số thập phân “Ba trăm hai mươi tư phần một nghìn” được viết là: $\frac{324}{1000}$ .
Chọn đáp án:$\frac{324}{1000}$"
50,"<s>[INST]168 phút = … giờ, các đáp án
2,6 giờ
2,4 giờ
2 giờ
2,8 giờ[/INST]</s>
Lời giải:1 giờ có 60 phút. Lấy 168 chia cho 60. Vậy 168 phút = $\frac{168}{60}$ = 2,8 giờ.
Chọn đáp án:2,8 giờ"
51,"<s>[INST]Phép tính 712,54 – 48,9 có kết quả là:, các đáp án
70,765
223,54
663,64
707,65[/INST]</s>
Lời giải:Phép tính 712,54 – 48,9 có kết quả là: 663,64.
Chọn đáp án:663,64"
52,"<s>[INST]18% của 45m2 là:, các đáp án
8,1m
8,1m2
25m2
25[/INST]</s>
Lời giải:18% của 45m2 là: 45 ${\times}$ $\frac{18}{100}$ = 8,1 (m2).
Chọn đáp án:8,1m2"
53,"<s>[INST]Phép tính có kết quả là số liền sau của số nhỏ nhất có hai chữ số giống nhau là:, các đáp án
8 + 4
7 + 6
9 + 5
16 – 6[/INST]</s>
Lời giải:Số nhỏ nhất có hai chữ số giống nhau là: 11
 Số liền sau của 11 là: 11 + 1 = 12
 Ta có:
 8 + 4 = 12
 7 + 6 = 13
 9 + 514
 16 – 6 = 10
 Vậy phép tính có kết quả là 12: 8 + 4
Chọn đáp án:8 + 4"
54,"<s>[INST]Phép tính có kết quả là số tròn chục là:, các đáp án
46 + 11
56 – 6
32 + 25
85 – 31[/INST]</s>
Lời giải:Ta có:
 46 + 11 = 57
 56 – 6 = 50
 32 + 25 = 57
 85 – 31 = 54
 Vậy phép tính 56 – 6 có kết quả là số tròn chục.
Chọn đáp án:56 – 6"
55,"<s>[INST]Phép tính có kết quả nhỏ nhất là:, các đáp án
1 + 2
2 + 2
1 + 4
1 + 1[/INST]</s>
Lời giải:1 + 2 = 3$$2 + 2 = 4$$1 + 4 = 5$$1 + 1 = 2$
 So sánh kết quả ta được: 2 < 3 < 4 < 5
 Vậy phép tính có kết quả nhỏ nhất là: 1 + 1
Chọn đáp án:1 + 1"
56,"<s>[INST]1m 3 dm = …. cm. Số thích hợp để điền vào chỗ chấm là:, các đáp án
13
103
130
31[/INST]</s>
Lời giải:1m = 100 cm;3 dm = 30 cm. Vậy 1m 3dm = 100 cm + 30 cm = 130 cm.
Chọn đáp án:130"
57,"<s>[INST]Phú Quý là tên một hòn đảo thuộc tỉnh Phan Thiết. Có 30971 người hiện đang sinh sống trên đảo. Nếu làm tròn số người sinh sống trên đảo đến hàng nghìn, ta có thể nói: số người sinh sống trên đảo Phú Quý khoảng:, các đáp án
30 000 người
40 000 người
31 000 người
29 000 người[/INST]</s>
Lời giải:Để làm tròn số 30971 đến hàng nghìn ta xét chữ số hàng trăm.
 Ta có 9 > 5 nên làm tròn lên
 Ta được số 31000.
Chọn đáp án:31000 người"
58,"<s>[INST]2 ${\times}$ 9 ? – 285 ${\times}$ 3, các đáp án
52
53
41
45[/INST]</s>
Lời giải:
Chọn đáp án:45"
59,"<s>[INST]Sáng nay, ông Bình chạy bộ 30 phút quanh công viên. Khi ông chạy bộ xong, đồng hồ chỉ 6 giờ 15 phút. Vậy ông Bình bắt đầu chạy bộ lúc:, các đáp án
5 giờ kém 15 phút
6 giờ kém 5 phút
5 giờ 45 phút
6 giờ 45 phút[/INST]</s>
Lời giải:Ông Bình chạy bộ lúc 6 giờ kém 15 phút hay 5 giờ 45 phút
Chọn đáp án:5 giờ 45 phút"
60,"<s>[INST]2 giờ = … phút. Số thích hợp điền vào chỗ chấm là:, các đáp án
120 phút
110 phút
60 phút
240 phút[/INST]</s>
Lời giải:1 giờ có 60 phút. Lấy 2 ${\times}$ 60 = 120 phút.
Chọn đáp án:120 phút"
61,"<s>[INST]Sau khi cắt được một lượng lớn cỏ tươi, mẹ dùng quang gánh mang số cỏ đó về nhà cho bò ăn. Mỗi bên quang gánh có khoảng 25 kg cỏ. Mẹ gánh 3 chuyến thì hết số cỏ cắt được. Vậy mẹ cắt được là:, các đáp án
50 kg cỏ
75 kg cỏ
100 kg cỏ
150 kg cỏ[/INST]</s>
Lời giải:Mỗi chuyến mẹ cắt được số ki-lô-gam cỏ là: 25 ${\times}$ 2 = 50 (kg)
 Mẹ cắt được số ki-lô-gam cỏ là: 50 ${\times}$ 3 = 150 (kg)
Chọn đáp án:150 kg cỏ"
62,"<s>[INST]Số “bảy mươi mốt nghìn chín trăm ba mươi lăm” viết là:, các đáp án
17 935
71 935
71 395
17 595[/INST]</s>
Lời giải:Số “bảy mươi mốt nghìn chín trăm ba mươi lăm” viết là: 71935.
Chọn đáp án:71935"
63,"<s>[INST]Số “chín mươi tư” được viết là:, các đáp án
94
4
9
49[/INST]</s>
Lời giải:Số “chín mươi tư” được viết là: 94
Chọn đáp án:94"
64,"<s>[INST]2 giờ 20 phút chiều còn được gọi là:, các đáp án
14 giờ 20 phút
15 giờ 20 phút
16 giờ 20 phút
17 giờ 20 phút[/INST]</s>
Lời giải:Lấy 2 + 12 = 14. 2 giờ 20 phút chiều còn được gọi là 14 giờ 20 phút.
Chọn đáp án:14 giờ 20 phút"
65,"<s>[INST]Số “Hai mươi mốt phẩy tám mươi sáu” viết là:, các đáp án
201,806
21,806
21,86
201,86[/INST]</s>
Lời giải:Số “Hai mươi mốt phẩy tám mươi sáu” viết là: 21,86.
Chọn đáp án:21,86"
66,"<s>[INST]Số “Mười tám phẩy hai trăm ba mươi hai” viết là:, các đáp án
18,2302
18,232
18,322
18,223[/INST]</s>
Lời giải:Số “Mười tám phẩy hai trăm ba mươi hai” viết là: 18,232.
Chọn đáp án:18,232"
67,"<s>[INST]Số 0,72 viết dưới dạng tỉ số phần trăm là:, các đáp án
72%
0,72%
7,2%
720%[/INST]</s>
Lời giải:Số 0,72 viết dưới dạng tỉ số phần trăm là: 72%.
Chọn đáp án:72%"
68,"<s>[INST]2 là số dư của phép chia:, các đáp án
64 : 3
407 : 4
662 : 6
554 : 5[/INST]</s>
Lời giải:64 : 3 = 21 (dư 1) 
 407 : 4 = 101 (dư 3)
 662 : 6 = 110 (dư 2) 
 554 : 5 = 110 (dư 4)
 2 là số dư của phép chia: 662 : 6
Chọn đáp án:662 : 6"
69,"<s>[INST]Số 13076 làm tròn đến chữ số hàng chục nghìn ta được số:, các đáp án
10 000
13 000
13 050
20 000[/INST]</s>
Lời giải:Số 13076 gần với số 10000 hơn số 20000.
 Vậy khi làm tròn số 13076 đến hàng chục nghìn ta được số 10000.
Chọn đáp án:10000"
70,"<s>[INST]2 ngày = … giờ?, các đáp án
12
24
48
56[/INST]</s>
Lời giải:nan
Chọn đáp án:48"
71,"<s>[INST]Cho biết: 18, 987 = 18 + 0,9 + …. + 0,007
 Số thích hợp để viết vào chỗ chấm là:, các đáp án
8
0,8
0,08
0,008[/INST]</s>
Lời giải:18 + 0,9 + 0,08 + 0,007 = 18, 987. Chỗ cần điền là: 0,08
Chọn đáp án:0,08"
72,"<s>[INST]2,05 ha = ...........m2, các đáp án
25 000
20 050
20 500
20 005[/INST]</s>
Lời giải:1 ha = 10000 m2 . Lấy 2,05 ${\times}$ 10000 = 20500 m2.
Chọn đáp án:20500"
73,"<s>[INST]Số 4 trong số thập phân 325,047 thuộc hàng:, các đáp án
Chục
Đơn vị
Phần mười
Phần trăm[/INST]</s>
Lời giải:Số 4 trong số thập phân 325,047 thuộc hàng: phần trăm.
Chọn đáp án:Phần trăm"
74,"<s>[INST]Số 405 đọc là:, các đáp án
Bốn không năm
Bốn trăm linh lăm
Bốn trăm linh năm
Bốn trăm không năm[/INST]</s>
Lời giải:Số 405 đọc là: Bốn trăm linh năm
Chọn đáp án:Bốn trăm linh năm"
75,"<s>[INST]2,3 giờ = ..... giờ ... phút?, các đáp án
2 giờ 18 phút
2 giờ 30 phút
2 giờ 3 phút
2 giờ 36 phút[/INST]</s>
Lời giải:2,3 giờ = 2 giờ + 0,3  ${\times}$ 60 phút = 2 giờ 18 phút.
Chọn đáp án:2 giờ 18 phút"
76,"<s>[INST]Số 504 đọc là:, các đáp án
Năm trăm không bốn
Năm trăm tư
Năm trăm bốn
Năm trăm linh tư[/INST]</s>
Lời giải:Số 504 đọc là: Năm trăm linh tư
Chọn đáp án:Năm trăm linh tư"
